wid,d1,d2,θ1,θ2,T1,T2,θ_prun,neglogl,param_count,n_trials,bic
w96b09fe,9.619539823105235e-5,0.0009997189622166602,0.9375811767578125,1.2985589599609373,1504.7180175781255,1389.4760131835942,1.3894680786132811,144.50414185626283,7,95,320.88542195372946
w9ff051d,8.490926433738703e-5,2.980184585448343e-7,1.5223497772216796,0.46802001953125,2392.6273345947266,1383.5319519042973,1.069458312988281,183.1225819570037,7,99,398.4110028649495
wdcfc216,0.00016891224448491816,5.990116966171567e-10,0.677218246459961,0.43252799987792967,1770.9270477294922,1048.359680175781,1.9995924377441405,125.21305903933558,7,100,282.66230938058777
w4a3c9b0,9.733773809039208e-5,0.0009955128609158515,1.9411767578124999,0.9956494140625,1420.2880859375,1230.0781250000002,1.4176562499999998,226.88239640239672,7,131,487.8911740672015
wde62b3d,8.827989672083048e-5,0.0009851440890006372,1.0221230316162107,1.1566135406494138,841.7732238769536,1211.6394042968752,1.1697181701660155,159.98795808151618,7,95,351.85305440423616
w5284fa9,0.0001555587810029959,1.259208527890217e-10,1.1235083007812499,0.43128173828125005,1671.636962890625,1242.6940917968752,0.389830322265625,167.36793192740816,7,95,366.6130020960201
w18b16aa,9.910458562488622e-5,0.000441094101251495,0.8370947265625001,0.912021484375,958.3496093750003,1199.0234375000002,1.2832714843749997,269.77001081340364,7,148,574.5205075431561
w430272a,0.00010167218301363254,0.0009997189622166602,1.5435211181640622,0.5155743408203125,1223.2849121093755,1197.5677490234377,0.6882986450195313,99.36784014156873,7,95,230.61281852434126
w2121301,0.000106446191344822,0.0009133396763351684,1.2006556701660156,0.1415523529052735,1064.554214477539,1259.737777709961,0.632390594482422,243.10125801476792,7,149,521.2301401711541
wb14ab17,9.142546959379156e-5,2.764326616913319e-6,0.911479549407959,0.12919359207153322,1304.3334007263186,1365.5026435852053,0.4932756996154785,161.9116765395504,7,94,355.62641655499084
wc59a729,8.954191272058275e-5,1.000281116787775e-10,1.3038763427734374,0.5254235839843749,1204.118347167969,1211.3967895507815,1.9999700927734374,180.3820018603681,7,100,393.0001950226528
wcb4623a,5.4491419950323204e-5,0.00014122199545601823,1.1319677734374998,0.57291748046875,1554.2114257812502,1984.124755859375,0.673101806640625,188.00669037405137,7,95,407.89051898930654
w672a25c,2.6963165289052594e-6,9.730012614710419e-7,0.8446723747253418,1.1268821763992307,1342.9243087768557,1758.3755254745483,0.6196433210372926,330.2626223198463,7,98,692.6200169903866
wf36c682,9.974559786542843e-5,0.0009100084188196201,1.22432897567749,0.4258057403564453,408.88786315917963,1187.5144004821775,1.1358689498901366,110.74805904446603,7,94,253.2991815648221
w5c58b96,7.470409715261769e-6,9.611600588441418e-7,0.5615236282348633,0.3801774597167969,2932.0812225341797,1260.7385635375977,0.8072184371948243,297.8909747395772,7,87,627.0433063097364
w397496b,0.0001058866744077898,0.00021666307974543258,0.9529064178466797,0.6445435333251953,1440.6677246093752,1414.4046783447268,0.5403182983398438,277.00887126108967,7,149,589.0453666637975
w9376389,9.534075010143559e-5,0.00019373180630518632,1.2339195251464843,0.8606981658935546,2661.8690490722656,1792.9443359375,1.4395526885986325,229.06177562112384,7,93,489.85174769432047
w158db17,0.00018054763205417173,0.0005962819460220644,0.8808196258544922,0.5668372344970704,1445.8839416503909,802.1057128906253,0.7955828857421876,112.14483072036671,7,95,256.1667996819372
w9864444,0.00014521201888803567,0.0008962059788973256,0.48303558349609377,0.3626316070556641,1346.9577789306643,877.407264709473,0.6777186393737793,163.62758919280972,7,147,362.1882064930706
w05e5ad5,9.603330490535186e-5,0.0002308241526761367,1.0116015624999999,0.5509228515625,1528.9794921875,1334.8876953125,0.925556640625,165.02480073750968,7,93,361.77779792709214
w6d23692,8.777268322268107e-5,0.0003785515249258639,0.7143115234374999,0.9284570312499999,1323.2421875000005,946.7041015625001,1.1464697265625,282.08656320392305,7,146,599.0583727598045
we289943,0.00011082936531950351,0.0009643566306100785,1.0511174964904784,1.155741157531738,856.4362525939944,1072.0601081848147,1.9901265144348144,204.76874787595864,7,148,444.5179816682661
w6f95ee3,0.00012826059837970933,0.0008952303856198418,1.2578704071044922,0.6214990234375,1850.5046844482422,1745.3311920166018,1.3639688110351562,266.3608752165192,7,148,567.7022363493872
w6eb2a0a,6.539608623024362e-5,4.811849236829218e-6,1.736314010620117,0.5404844665527344,2326.818084716797,1409.7949981689455,1.268255920410156,168.0105969667957,7,85,367.1197527290236
w2424d8d,0.00011863244772106714,9.363771465664639e-5,1.1973115348815915,0.22560892105102542,1356.7988395690923,1251.8982887268069,0.6590662574768066,189.6733638331383,7,99,411.51256661721874
