wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic
wf36c682,6.397007614611336e-8,0.00015809056253899344,0.0002510924644076328,0.05905172348022464,0.668088436126709,0.24052629470825196,1077.9890060424807,980.3972244262696,111.6078711095901,8,94,259.56210047734027
w5c58b96,1.7105083942485332e-6,1.983305002447832e-5,4.279278427899717e-6,0.4706176960468292,0.40601484656333925,0.7913689637184143,2147.934252023697,893.2492494583129,297.75775118606697,8,87,631.2427673213706
w397496b,0.00010071224461877663,0.0009308336403526459,0.0001260447909609945,0.40192283630371095,0.7164339447021484,0.6139081573486328,657.931900024414,1410.8867645263672,286.28925541127967,8,149,612.610081270123
w9376389,1.8595474826573416e-5,8.970407966262779e-7,2.474339681544714e-5,0.5946793794631958,0.6205119276046753,0.7147085332870483,1654.3089628219604,1662.2962951660156,290.9388189489294,8,93,618.1384338430848
w158db17,0.00010043353254918083,0.00044525927627898893,1.126272218447046e-5,0.42403501033782964,0.519150733947754,0.4863816070556641,1065.1986598968506,931.2260389328006,138.20329918016157,8,95,312.83761349312744
w9864444,4.891624651818792e-7,0.0003340440272648692,0.000912954678950927,0.14879577636718752,0.4284417724609375,0.17498992919921877,1230.3207397460938,935.7864379882811,162.03497768677806,8,147,363.99341606778603
w05e5ad5,5.2388779552012075e-5,0.00022901465861166893,0.00020169145547303355,0.31864990234375,0.8622314453125001,0.5547900390625,1056.3659667968755,1352.3559570312498,159.1686136518088,8,93,354.5980232488437
w6d23692,1.041305410644336e-6,0.00021096905134061753,0.0008896491128198342,0.29230468750000005,0.7336474609375,0.3619140625,457.59277343749994,1288.3056640625002,252.1952597681196,8,146,544.2593725099059
we289943,0.0001393294647588347,0.0009700997803442236,8.929058412544171e-5,0.549351806640625,0.8798150634765625,0.6037945556640625,694.1421508789066,1072.6211547851562,204.5832490879905,8,148,449.1441963660939
w6f95ee3,0.00010489431546588549,0.0009997189622166602,0.0009997189622166602,0.55406494140625,0.9071572875976562,0.6892050170898437,1318.8751220703127,1744.1787719726562,285.5770693849406,8,148,611.1318369599942
w6eb2a0a,6.679988207580078e-5,3.064062413488187e-7,5.212530930277768e-5,0.7372861671447754,0.0010004806518554956,0.6387163162231445,1998.7726211547854,1467.6586151123047,191.5175198273791,8,85,418.5762497066807
w2424d8d,6.65036464963023e-5,0.0009999297331483674,0.00021763965916633864,0.42496734619140625,0.7319178009033204,0.44514923095703124,675.0362396240234,1205.8773040771487,194.846809745706,8,99,426.4545782924887
