wid,d1,d2,θ1,θ2,T1,T2,neglogl
wde62b3d,8.902041068278042e-5,9.800863558522926e-5,0.6703699445724488,0.4647212028503418,961.6400718688964,809.7101688385009,200.0389153037716
w5284fa9,0.00032725973782270765,0.00016867502424425091,0.6647329711914063,0.5263299560546876,1736.1724853515625,1016.5771484374999,108.74079800539043
w18b16aa,0.00027992673106214794,0.0002095285879110394,0.6023953437805175,0.36106433868408205,1644.5247650146484,1076.9124031066895,197.56342234690518
w430272a,0.00010856893218545674,0.00023796155893796505,0.8064815378189086,0.451508469581604,1132.8654289245603,934.3307495117188,169.53480708542267
w2121301,0.0002804398569684117,0.00011553399964660682,0.631268014907837,0.42798008918762204,1261.2617015838625,905.7856082916259,228.5916965747155
wb14ab17,0.00013657409996805042,9.337817060959457e-5,0.8078510093688965,0.3341960716247559,1124.5407104492185,1026.4030456542969,203.99007469314137
wc59a729,6.483329523018673e-5,0.0002752502887275299,0.7565937805175781,0.5358695220947266,1563.0062103271484,853.4187316894532,186.86952312309745
wcb4623a,0.00012426829838846516,0.00016017319689770742,0.945013427734375,0.435753173828125,1371.7651367187502,1784.9380493164062,202.7731147299209
w672a25c,0.00010511382768742524,0.0001027892345180391,0.8172772789001465,0.6499194526672363,1494.8617935180666,1028.7230491638188,163.91173442204507
wf36c682,0.00011563247835304688,0.00015493695958041648,0.7206712341308593,0.3598143005371094,886.7782592773436,976.4850616455077,179.28844360568286
w5c58b96,6.875361410255627e-5,0.00019605651863243876,1.1218390655517576,0.530487937927246,1889.8689270019531,979.487419128418,190.29580826349462
w397496b,0.00020552393018166373,0.00012343444995915876,0.7812631511688232,0.5078725385665893,1498.2204914093018,853.7636995315552,235.02953148007973
w9376389,5.8837379288621675e-5,0.00010273507681793057,0.8954348754882812,0.819329833984375,2419.86083984375,1121.1441040039062,242.09522943829384
w158db17,0.00010316188928344346,0.00019013091331022473,0.5623129272460937,0.21841270446777344,1514.0586853027346,798.6484527587893,151.08698624206204
w9864444,0.00023332737667032817,0.00016840263279764445,0.32393707275390626,0.22099208831787112,1350.1572608947754,955.3320884704592,155.91857649214685
w05e5ad5,8.301289965484942e-5,6.240692340139841e-5,0.9674423599243165,0.7216672992706299,913.7729406356812,419.22173500061064,263.6076564333651
w6d23692,0.000167671285680094,9.512702378575745e-5,0.733582787513733,0.43465466976165773,1271.6524362564087,786.4381074905399,286.8154035001799
we289943,0.00011856994253210463,0.00029385944121749976,0.6053958129882813,0.4604367065429688,1496.9543457031252,865.9133911132814,229.89748196862132
w6f95ee3,8.490628113164126e-5,0.00023419797191048922,0.9351075363159179,0.49472023010253907,1439.1665458679201,1331.1574935913086,270.00809936946945
w6eb2a0a,9.11672526024004e-5,0.00012798150613241397,0.957951889038086,0.4065755462646484,3178.8810729980473,1570.2239990234377,185.44082372085643
w2424d8d,0.0001283733076861346,0.00019933844424762542,0.6996490669250488,0.46263843536376953,1256.3108444213867,986.4929199218751,141.10540145882416
