wid,d,θ0,vigor1,vigor2,T1,T2,rating_sd,neglogl,param_count,n_trials,bic,optimizer
wf36c682,0.0001420917249482303,0.4159686266773679,0.9814971714396963,4.994756342292384,842.2948941207327,851.5773920321412,0.1663571093246722,2379.834683161399,7,94,4791.472429798688,BADS
w5c58b96,0.00017229966915412856,0.7430864139174809,1.4560527491848918,2.026313967385795,1882.9976309119959,1137.8523771869368,0.02855990527627886,2331.5601434300356,7,87,4694.381643690654,BADS
w397496b,0.0003008559132469482,0.2943759335577488,0.10000000074505826,2.4397216089069844,1038.1319522857666,1170.4254316166043,0.0010970264241598243,3943.887981350057,7,149,7922.803586841733,BADS
w9376389,0.00012609815233184977,0.7853635111451148,0.3909608125686648,2.3295237064361576,1795.7727879285812,1893.7374949455264,0.0019558999166286715,2440.3894777993364,7,93,4912.507152050745,BADS
w158db17,0.0005341862984118975,0.4977199953674199,0.5800829920653998,0.7910089608116324,1013.732736529255,413.5736033114201,0.0016184615931681152,2393.4608125405266,7,95,4818.798763322257,BADS
w9864444,0.00020765405032702834,0.32169931744339597,0.10000295515845616,0.6810038773773841,846.0087227728784,539.2038135357518,0.19554382330556772,3687.168523629139,7,147,7409.270075365729,BADS
w05e5ad5,0.00020958818400493233,0.4712087819217822,4.999104406767219,0.4772453183348263,1476.9406656122785,1135.3101404261456,0.999010058982773,2460.7310269421023,7,93,4953.190250336277,BADS
w6d23692,5.710836805273228e-5,0.7181543092593496,0.4821271864270168,1.7109504622670992,846.102065330741,621.9400409885569,0.11623453927011584,3949.3299073591043,7,146,7933.545061070166,BADS
we289943,0.00019597500515705502,0.9484755212068557,1.1528767824172976,2.161245656013489,722.4449142813686,588.7466564774513,0.08805448176381345,3859.9379990713724,7,148,7754.856484059093,BADS
w6f95ee3,0.0004907917733162346,0.2286665774095556,4.701718681133241,1.6451166002792665,1210.8992610777136,1752.2561350398719,0.02843094049140006,3964.4756127081455,7,148,7963.93171133264,BADS
w6eb2a0a,0.00021152745916311374,0.6821098211830934,2.5602554889988896,1.2173900269064448,2163.246283600474,1324.228303477112,0.07349891518543844,1873.3150858281406,7,85,3777.7287304517135,BADS
w2424d8d,0.00027091310279253264,0.5447647218187922,4.6612299326319775,2.6751920112503287,979.9587846324358,1090.6079513789339,0.18202431938697922,2642.741465538834,7,99,5317.64877002861,BADS
