wid,d,θ0,vigor,T1,T2,neglogl,param_count,n_trials,bic,optimizer
wf36c682,0.00012092982580116136,0.4761521865558143,3.2027629014735797,753.4012445683401,789.0303121590479,2379.8183143918914,5,94,4782.353102695132,BADS
w5c58b96,0.00021712733346334898,0.5607957392496465,0.1000061834611671,2000.1965579606815,1208.0591223219649,2331.521831497911,5,87,4685.373203589095,BADS
w397496b,0.0004687848991241758,0.2081497721897904,1.7657998131588104,1103.3108067873404,1217.3470572452063,3943.6442145435817,5,149,7912.308160616891,BADS
w9376389,0.00014152265821810458,0.7445096457004547,1.7531290054321291,1819.5883631706238,2064.9884402751923,2440.2343295605397,5,93,4903.131656586846,BADS
w158db17,0.0007676637439023215,0.32002958766164286,4.7480403258939985,1132.4787628226206,399.5916418102469,2393.3853993115745,5,95,4809.540183081152,BADS
w9864444,0.00015021207225256208,0.44904532529413704,1.1678391487803312,709.1365684755148,547.0693451992701,3687.91581374044,5,147,7400.783790414774,BADS
w05e5ad5,0.00021167160306918915,0.40597210631484815,3.173316089832224,1469.0829223351332,1164.0901175315548,2461.2538778476296,5,93,4945.1707531610255,BADS
w6d23692,0.000550000178360975,0.2352923377322668,0.42317648697498966,1196.2265919090441,653.9380531445432,3946.3591251416265,5,146,7917.636283391795,BADS
we289943,0.0002170155024863705,0.8111377849776884,1.8987724986800687,951.0983107493516,572.4699707849368,3859.9224504647223,5,148,7744.830962298265,BADS
w6f95ee3,0.0001473970154135949,0.934486424620809,3.847509342733793,1051.32883953645,1579.3495635157115,3960.56697591178,5,148,7946.120013192381,BADS
w6eb2a0a,0.0002179428060077852,0.7187914928411169,0.46345410343683413,2209.713846616789,1373.7667006683623,1873.4028663728775,5,85,3769.0189890282068,BADS
w2424d8d,0.00034506532392071396,0.40096437873135077,4.9720176897808415,995.7798331095775,1077.3114997571843,2642.3332029368776,5,99,5307.642005124428,BADS
