wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
wbcb6e6a,6.978110473198498e-5,0.00011531652741573392,1.0844570004940033,0.47404975414276124,719.5229411125183,199.26979541778553,1526.6377853434033,6,89,3080.2073889051994,BADS
wdf61453,8.707845921459309e-5,7.494129470814007e-5,0.7574737185798585,0.473321320656687,605.9418970718978,336.8609447032213,1606.426028100976,6,95,3240.1753175515555,BADS
wa3a9848,5.675071715369012e-5,6.502359549845613e-5,0.8827171634074011,0.9446220686928427,1571.6572809633817,193.3579352364631,1579.0050967935626,6,87,3184.8056422990526,BADS
wf63b737,0.0001829689941212333,0.003875031115849144,0.41679135084152225,0.007174196243286186,2590.9308433532715,1385.5633020400999,1487.3490978097561,6,84,3001.283096412572,BADS
w4ff13f3,0.0004926471619139541,0.003945757624922849,1.1999118676718898,0.005215552983136129,2262.3833669091255,960.105019882576,1549.8079095228154,6,90,3126.6146770676123,BADS
w313d7aa,0.00018926821002236466,0.005010747684843817,0.3410590076446533,0.0036431217193603443,2753.8855075836177,1052.9026508331299,2459.384147669711,6,138,4948.331817450366,BADS
w0e2f500,6.041502600039479e-5,9.238308883042015e-5,0.6388307214318347,0.7908504525729046,638.3361256415246,362.0039496652048,1534.5868257645868,6,89,3096.1054697475665,BADS
waedfc9c,8.596930695586928e-5,8.766732457392699e-5,0.6576440018591319,0.5655889603908153,935.0477764355816,451.820405114867,1563.8908630276342,6,93,3154.9773230141877,BADS
w96b09fe,0.00018117553647371978,0.009999999999999995,0.3184275579452515,0.004727935791015627,3191.6829109191895,1493.2491779327393,1718.5425643618685,6,95,3464.4083900733403,BADS
w9ff051d,5.621532972260881e-5,9.268315306425191e-5,0.8405986372617149,0.6115611347760438,2161.519299447881,294.4599238744018,1636.8453276987334,6,94,3300.950424091087,BADS
wdcfc216,0.00011842460375390729,0.0020591542080862545,0.43957889939793116,0.0049418680716587695,1991.9279740144505,965.8083775400853,1663.6390131543099,6,94,3354.53779500224,BADS
w4a3c9b0,5.8359639280503325e-5,0.00012188816775893097,0.9529021156102015,0.5410464449463445,844.8427018854543,255.79650194993616,2135.1315017248853,6,125,4299.232885873585,BADS
wde62b3d,0.00018375243900961284,0.003242626451879258,0.23627389907836918,0.0058338749408722475,2124.016535282135,1216.1353588104248,1633.5698664814427,6,92,3294.2704644251794,BADS
w5284fa9,0.00012634623126044932,0.0001055162502371927,0.6730744545994093,0.6484085329546361,1123.8174588128459,419.209184293868,1547.7040490408788,6,95,3122.731359431361,BADS
w18b16aa,0.00011560157714662531,0.00010427230655899738,0.643733687813231,0.6195453503424372,942.6045534833576,200.68761207005528,2332.566480203188,6,141,4694.825519748645,BADS
w430272a,0.00015521476623610834,0.004951222593490652,0.4357940125709956,0.0028743579866750447,2180.802251480509,1171.5954877771308,1677.0202896385258,6,95,3381.363840626655,BADS
