wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w5c58b96,0.00015935483200145938,0.0001990547182096811,0.001788987335801566,0.383424789988262,0.5190244171979214,0.08455226193090372,3503.9271012591453,1535.4708952493424,1509.5818780888374,8,83,3054.5144810400475,BADS
w397496b,0.00013203780896429068,0.0015548945565383887,0.0001425696378705755,0.41306050091379914,0.05186762939114147,0.364604423213923,1430.9863140248808,1498.1801210390927,2566.9422263261627,8,145,5173.69832259169,BADS
w9376389,2.463740397691266e-5,0.0003492136456779867,8.6270319479889e-5,0.6836980931760809,0.5441171055765336,1.2260872928607203,1525.491467647953,831.9187882541881,1567.5164865264546,8,87,3170.760238002146,BADS
w158db17,8.244233906224092e-5,0.0006840117583742267,7.179324198103227e-6,0.39695983856803024,0.45500628856699243,0.17187394848688883,1418.3139991735018,712.9536538582555,1613.2133942714154,8,95,3262.8578036756353,BADS
w9864444,6.680300367142046e-5,0.00044903332749521464,0.005547267508694492,0.4458651809191361,0.19389771728769117,0.31642603231121036,407.7838218792748,812.3386407634825,2442.780057994375,8,145,4925.373985928115,BADS
w05e5ad5,8.38452998413443e-5,0.0002446108723215437,0.0007151504727265494,0.4205247192390198,0.5801860253179257,0.2677477208506935,1560.5938211252576,2084.316802674766,1662.9010145564946,8,90,3361.800506475631,BADS
w6d23692,8.475764718317486e-5,0.00022464033377144507,1.3185184341514494e-6,0.387579356743222,0.42177087555825893,0.21042283924286492,1063.8657492552284,1256.7014931558333,2498.329941878176,8,140,5036.193023137227,BADS
we289943,0.00010005882392266958,0.0001596497590204808,1.588452191479815e-6,0.5918555070711591,0.553739519279843,0.0012937727117242257,486.9344273582101,992.7223812228476,2466.1230140353045,8,141,4971.836107193634,BADS
w6f95ee3,0.0007646876759146181,0.00019289034314606734,0.0003566891726055443,0.3853267412877904,0.8595177077943663,0.23366728554598015,2467.7450605477134,1610.3286204750473,2576.1986349876943,8,145,5192.211139914753,BADS
w6eb2a0a,4.943326576912545e-5,0.00012913528148333786,5.202049534726061e-5,0.6063098635524512,1.7367577036470174,1.0148565505445004,1510.9986715018747,819.4938696920871,1315.4443749322834,8,75,2665.428654772857,BADS
w2424d8d,0.00023237586208666334,0.00013908576340258057,0.00616576117524923,0.31642758524147213,0.6825751919733012,0.01888355434981355,1182.652711284754,1219.8877175753294,1728.957675636812,8,99,3494.6763100747007,BADS
