wid,d1,d2,θ1,Δ,T1,T2,θ_prun,neglogl,param_count,n_trials,bic,optimizer
w5284fa9,6.911569156091423e-5,0.0001678486337001112,0.7644419443793595,0.20923187935724857,1197.7268895134328,818.6560420319438,0.3896639622747898,1589.8703334866937,7,95,3211.617805214591,BADS
w18b16aa,6.731146971805495e-5,0.00015914146018388694,0.6764616280701011,0.5507040799502283,852.3838989902288,575.4446101840583,0.7500419963756576,2392.1522086907194,7,141,4818.945736614086,BADS
w430272a,9.918052868372674e-5,0.00010030823684142141,0.94526254956564,0.43159011892304305,824.2461714909495,630.9669314812027,1.7823115542955916,1607.060967840438,7,95,3245.99907392208,BADS
w2121301,8.250435560013611e-5,0.00010260172539938866,0.6763186079464901,0.5037944089911344,709.276270373084,599.328086968262,0.927539712236296,2449.6703940216375,7,144,4934.129481140307,BADS
wb14ab17,5.568128717386144e-5,5.231359222322473e-5,0.8944910545604216,0.0019070749192179198,623.1305936351418,978.659231072379,0.6815604946885288,1628.4726098244143,7,94,3288.748283124719,BADS
wc59a729,5.271970870435297e-5,0.00031824894073833357,1.0007369878888128,0.8300833839178086,1041.705986857414,562.7045154571533,0.9249458426237107,1643.5167408482243,7,95,3318.9106199376524,BADS
wcb4623a,6.129045082730315e-5,7.715789819617803e-5,0.9034321073256797,0.38842470794916156,954.8704967961384,1638.476638710017,1.4092786697351039,1679.677166743701,7,95,3391.231471728606,BADS
w672a25c,4.792639483010657e-5,0.00015019788356095373,0.9244862397360574,0.934796003656697,942.493775184019,633.8236859756427,0.949193096999582,1552.203759454342,7,89,3135.8279734968087,BADS
wf36c682,8.228257208939639e-5,8.411189874610555e-5,0.7088661924549382,0.45865523760413307,706.8241359857994,543.3167623782997,1.9999997124414248,1634.9618070481981,7,95,3301.8007523376,BADS
w5c58b96,0.003515739055768744,2.859893427745503e-6,0.025755974352359812,0.0010001856088638148,4335.635057091713,1548.1704115867612,1.9190232187509535,1510.800431250525,7,83,3052.5327467556262,BADS
w397496b,7.98386619618665e-5,0.0001187640557393519,0.771259410874336,0.6099051483056973,836.7264610918937,605.3951079549734,0.9773182027987786,2487.003862078459,7,145,5008.844860353862,BADS
w9376389,0.006919852403809969,0.0004548639601835481,0.009263506308198013,0.025443922132253688,5108.234223723411,2206.8594433367252,0.9374259988963604,1627.4186284684888,7,87,3286.0986137675595,BADS
w158db17,6.445437970158024e-5,0.00019994768343953792,0.8314632136601844,0.1319313294965387,1027.783758364525,456.374990602463,0.5556647371439525,1572.0833429735128,7,95,3176.0438241882293,BADS
w9864444,7.552375397892849e-5,7.98580512036505e-5,0.5435437036771597,0.3588601494306652,643.0877457136844,315.78706770483427,1.0456852919781339,2359.8613504740806,7,145,4754.559837145105,BADS
w05e5ad5,5.002644594636379e-5,7.393581987709546e-5,1.2395428872766125,0.04255214454802062,781.0648900424893,689.6145816999365,0.5070639989017446,1658.810926423558,7,90,3349.1205205394276,BADS
w6d23692,7.860330863857874e-5,3.49320227060532e-5,0.7217181392118801,0.39953408514731564,785.2652905276044,550.4507383098826,1.7673589458002243,2449.3113043832627,7,140,4933.214105724791,BADS
we289943,7.45879909471329e-5,0.00017921112078178182,0.7997120004870704,0.48867941210668503,893.024124567455,484.3384733789207,1.0257947887054433,2379.037257972814,7,141,4792.7158351782755,BADS
w6f95ee3,7.570469950375764e-5,0.00017767082118206104,1.0637031345493777,0.8040141329262406,1134.2344019181837,821.7011958082365,1.8806387674266078,2483.9538418964758,7,145,5002.744819989895,BADS
w6eb2a0a,4.717798992321145e-5,0.00014843015484105357,1.2452803325653075,0.6510396718978881,2157.2503566741943,1086.2094879150388,1.069448399543762,1334.7790060718814,7,75,2699.780428938517,BADS
w2424d8d,6.884479867985677e-5,0.00021134540201793415,0.8016201646951959,0.5854741902556271,688.4269324131308,578.3569185528902,0.8709164110291749,1667.7899655461904,7,99,3367.745770043323,BADS
