wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic
w2121301,8.110829023954153e-5,3.1881594892459633e-6,0.776182746887207,0.0034854507446289533,890.2203559875488,1268.8964843749998,474.89563715444444,6,149,979.8149521445616
wb14ab17,4.4695204148916276e-5,1.1788869711201416e-6,0.47524267196655273,0.49408388137817383,1690.2576446533203,1352.0830154418945,294.7312826699352,6,94,616.7223340334904
wc59a729,0.00010331423309232017,0.0004980416061248417,0.8163690185546875,0.9267047119140625,2113.9236450195312,1215.278625488281,294.12610889514724,6,100,615.883238906223
wcb4623a,6.292571007878084e-8,4.408152309980888e-8,0.5456885528564454,0.2183447265625,2295.1568603515625,1703.904724121094,319.4221122874702,6,95,666.1674859245437
w672a25c,3.4841825904959515e-5,4.0806487867674416e-5,0.6977649223804474,0.9850020205974579,1838.4905159473421,883.6583852767945,330.3990571085983,6,98,688.30791908922
wf36c682,0.00018626943685048659,5.8523997673538396e-5,0.6419830322265625,0.34121856689453123,1159.4772338867188,1225.7110595703125,214.56241432119958,6,94,456.38459733601917
w5c58b96,0.000128377818117919,7.183413583781622e-5,0.501905117034912,1.426213912963867,494.50054168701195,4397.762393951416,300.09904913713757,6,87,626.9935469862027
w397496b,0.00010878120359802085,2.3382721329805054e-5,0.37699214607477194,0.6479941496253013,1636.2848669290543,606.7949190735817,506.6777990784227,6,149,1043.3792759925182
w9376389,3.2645585559369825e-6,5.462656214995477e-7,0.7687693786621094,0.679876937866211,6379.758071899414,5990.361404418945,314.8580796327857,6,93,656.9117562244909
w158db17,0.0001533339867740923,9.012898950885932e-6,0.7552040100097657,0.001004257202148453,1481.7909240722659,563.2514953613284,218.65804360717726,6,95,464.63934856395775
w9864444,0.00015580218620329407,3.974140016498141e-8,0.47489145278930667,0.5355107498168945,1257.478427886963,915.5129432678224,321.5934324016964,6,147,673.1294603240652
w05e5ad5,0.0001280984708030458,8.645051367493429e-8,0.8162783813476563,0.5001055908203125,2149.8306274414062,1332.7041625976565,282.21302036009155,6,93,591.6216376791026
w6d23692,8.32491175575573e-5,9.597427634732929e-6,0.6247298622131348,0.22965549468994145,1352.7198791503906,1253.5056114196777,464.71622884297796,6,146,959.334097416206
we289943,0.00010779354963176645,0.0007757280089577749,0.8901628112792968,0.020438385009765633,957.743072509766,1175.4898071289062,421.91149768461327,6,148,873.8062690118112
w6f95ee3,3.554522355611886e-5,4.634635938794983e-6,0.18402343750000005,0.912021484375,6905.322265624999,3799.853515625,500.21019549078494,6,148,1030.4036646241545
w6eb2a0a,5.23258214752987e-7,8.827434173078671e-6,0.7224653463065625,0.2872475694864989,2604.594377055764,1500.3109112381935,287.4748630745422,6,85,601.6056336880263
w2424d8d,7.508837078760884e-5,0.00020561127786928395,0.49328101038932803,0.3590468347072601,1413.8654291629794,792.8531825542451,340.42024832054034,6,99,708.4112157418882
