wid,d1,d2,θ1,θ2,T1,T2,neglogl
w18b16aa,0.00012269777008820182,1.1634155475335472e-5,0.7468502807617188,0.8640592956542967,1099.430084228516,1146.8006134033208,471.66611508310615
w430272a,0.00012595625125467295,0.00031569490881976705,0.6980874633789063,0.41971038818359374,1333.6746215820312,1215.0360107421875,239.52200176097955
w2121301,0.00012648842393977528,1.6622759633871418e-5,0.55938232421875,0.664884033203125,1495.98388671875,1099.0661621093752,438.49923126414535
wb14ab17,6.984683451658792e-5,0.00035254805477879814,0.7226237106323242,0.8236993026733398,907.9918861389164,1129.8479080200198,282.05990231744806
wc59a729,8.981288001168238e-5,0.0009999297331483674,0.8106437683105469,0.9567358398437499,1993.8899993896484,1163.1164550781252,284.89063784794223
wcb4623a,6.180386354657498e-8,1.2325947468641931e-8,0.6316503906250001,0.741260986328125,1453.2836914062502,1882.2265625,350.2166490575802
w672a25c,0.00012595279393486382,1.67899535905294e-5,0.43356902956962584,0.9371807444095611,2170.4462468624115,688.4501814842224,362.0774621313191
wf36c682,0.00018172499804270002,9.594309019707247e-6,0.7256770515441894,0.3171666622161865,1182.5862884521487,1223.815631866455,207.27201240079467
w5c58b96,4.6296619236069944e-8,1.5310570009979123e-6,1.0154701662063597,0.6976957643032073,1548.7696528434753,1229.0782868862152,326.05929052982214
w397496b,1.7088808852647682e-6,3.8557187437482984e-8,0.5939472007751465,0.7170400810241699,1346.229934692383,1397.3609924316404,531.58878961393
w9376389,6.764897652720412e-8,2.412891768240655e-6,0.3854948425292969,0.34442108154296874,3737.5015258789062,1834.0068817138672,343.4722490189011
w158db17,0.00014982007534354122,9.446765740177037e-5,0.738927196264267,0.00813945889472967,1442.1963870525362,488.39347362518356,214.8781896145862
w9864444,0.0001544478042029569,4.625526067651615e-6,0.46372985839843756,0.5393515014648438,1380.7418823242188,689.7750854492189,313.01664082507284
w05e5ad5,0.00010655844901943583,0.0009997189622166602,0.8472763061523438,0.40508758544921875,1761.6470336914062,1159.9624633789065,271.2205564445537
w6d23692,8.74971109508957e-5,0.000727587234547608,0.7848858070373534,0.49529993057250976,1155.8683395385747,1250.8065223693848,448.7643683332446
we289943,0.00013592545055770802,0.0005156337178440495,0.8949137115478515,0.929552230834961,920.2590942382814,1088.0271911621094,414.879197659679
w6f95ee3,9.668332162701031e-5,1.1704675423592709e-7,1.0888848876953123,0.34079559326171877,1576.2893676757812,1688.134765625,495.57299547824385
w6eb2a0a,9.045922164112625e-7,0.0009999989020424733,1.1385572636127472,0.41517640352249147,3078.671705722809,919.994682073593,315.03132853312434
w2424d8d,9.92439637797642e-5,1.288568237065066e-10,0.6575424194335938,0.7621981811523437,1084.7518920898438,1183.2534790039062,314.3643745312433
