wid,d,θ,vigor1,vigor2,T1,T2,neglogl
w18b16aa,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w430272a,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w2121301,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wb14ab17,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wc59a729,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wcb4623a,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w672a25c,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wf36c682,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w5c58b96,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w397496b,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w9376389,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w158db17,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w9864444,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w05e5ad5,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w6d23692,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
we289943,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w6f95ee3,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w6eb2a0a,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w2424d8d,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
