wid,d1,d2,θ1,θ2,Δ,T1,T2,neglogl
wb14ab17,9.36607469938728E-05,1.41778810418456E-07,0.7368726348876950,0.8328952026367190,0.0960225677490240,1115.1393890380900,1397.1790313720700,216.54831152458200
wc59a729,8.4599571643319E-05,0.0009999297331483670,0.8822698211669920,1.57886962890625,0.696599807739258,1446.8544006347700,1096.6400146484400,176.7481929953480
wcb4623a,7.27676712405062E-05,0.0002991304302953940,0.7092811584472660,0.9723707580566410,0.2630895996093750,1642.8264617919900,2033.3148956298800,223.68411122135300
w672a25c,0.00013276310244777300,1.12048993299571E-08,0.5534531402587890,0.7228691864013670,0.1694160461425780,1872.2793579101600,1481.7302703857400,189.60259601292200
wf36c682,0.0001407402851206280,0.00016017390035310900,0.7842598438262940,0.9457592964172360,0.1614994525909420,956.3745737075810,1202.8142929077100,182.3076803190260
w5c58b96,5.22858038194238E-05,0.00019670855231426000,1.0118130493164100,1.2903713989257800,0.2785583496093700,1598.8525390625,1346.7758178710900,195.78260739234400
w397496b,0.00010977971489120300,0.00017688544893021200,0.6984680688381200,0.9301555347442630,0.2316874659061430,1274.0217208862300,1333.3779871463800,260.5660628452650
w9376389,9.76087164109354E-05,5.63223702828585E-09,1.129752354621890,0.4304206848144530,-0.699331669807437,1594.5650815963700,2029.8348903656000,321.8316989883350
w158db17,0.00013752026457517300,0.0004741864029814040,0.7531023597717290,0.2864038276672360,-0.4666985321044930,1329.6563148498500,1175.6414413452100,137.01437009399600
w9864444,0.0001871386064440630,7.68741513578339E-09,0.3717444229125980,0.45185638427734400,0.080111961364746,1254.0211677551300,1112.7284049987800,171.89703086221300
w05e5ad5,6.10442175254296E-05,0.00017058215386421400,0.781624755859375,1.0058007812500000,0.224176025390625,1070.9228515625000,1256.280517578130,273.1176286721470
w6d23692,0.00012172575069043800,3.6520139259404E-06,0.65658034324646,0.7894332456588750,0.132852902412415,1248.384165763860,1159.1625928878800,301.8978327813860
we289943,0.0001211045333054240,0.00043277382540615700,0.6691741943359380,0.8753285217285160,0.2061543273925780,1356.4197540283200,1108.2855224609400,227.87609051072500
w6f95ee3,0.00011366078645448400,0.0003169452094446960,1.098945617675780,1.3831083679199200,0.28416275024414,1505.0819396972700,1545.689582824710,255.5828639539570
w6eb2a0a,8.59266356004074E-05,2.77231441743579E-08,1.1540988302230800,0.2933205795288090,-0.8607782506942710,3064.059853553770,2128.9809226989700,190.54164833888800
w2424d8d,0.0001254968463700570,0.00045654633764928400,0.6631166076660160,0.9282077789306640,0.2650911712646480,1244.6956634521500,1303.1658172607400,152.76259694711100
