pda,ana,mean_ll,diff
-15.069913150303414,-14.887568679570629,-14.97874091493702,-0.1823444707327848
-19.09575101641967,-18.71144370011318,-18.903597358266424,-0.38430731630649007
-19.252127624457064,-19.286176543219078,-19.269152083838073,0.034048918762014324
-17.031383906494526,-17.083932090483717,-17.05765799848912,0.0525481839891917
-15.189896617041374,-15.050762015742396,-15.120329316391885,-0.13913460129897715
-16.17491821454024,-16.14188168234993,-16.158399948445087,-0.03303653219031233
-15.865415551875357,-16.068925947543647,-15.967170749709503,0.20351039566829066
-18.7129831114526,-18.448745408116842,-18.580864259784722,-0.264237703335759
-17.735883468968275,-17.517994788604533,-17.626939128786404,-0.21788868036374254
-16.516441890357342,-16.722589543577644,-16.61951571696749,0.20614765322030237
-15.02064132615406,-14.92868493804879,-14.974663132101425,-0.09195638810527029
-18.68123392984643,-18.434483522519052,-18.557858726182744,-0.2467504073273794
-15.370331277589152,-15.267863604907756,-15.319097441248454,-0.10246767268139578
-17.550546947537768,-17.462612133765848,-17.506579540651806,-0.0879348137719198
-18.651188294332208,-18.639792732232788,-18.645490513282496,-0.01139556209941972
-16.487757935239557,-16.217768754263837,-16.352763344751697,-0.26998918097572044
-16.907435315306152,-16.8042327784794,-16.855834046892774,-0.10320253682675329
-15.363313868362402,-15.373550695834059,-15.36843228209823,0.01023682747165644
-17.0213537891069,-17.315563296035407,-17.168458542571152,0.29420950692850667
-20.394340289746214,-20.629743065998767,-20.51204167787249,0.23540277625255257
-17.038475750035733,-17.153728352996893,-17.09610205151631,0.11525260296116002
-16.879676364962897,-16.753042471274803,-16.81635941811885,-0.1266338936880942
-18.10303071389003,-17.931548199303833,-18.01728945659693,-0.17148251458619512
-15.335416455440946,-15.240317345954043,-15.287866900697495,-0.09509910948690248
-21.78636328548989,-21.71829356441838,-21.752328424954136,-0.06806972107150955
-18.16217071270415,-17.66680017732828,-17.914485445016215,-0.4953705353758693
-16.880003764109713,-16.85591606314598,-16.867959913627846,-0.024087700963733027
-16.13174079715315,-15.985617014562933,-16.05867890585804,-0.14612378259021597
-15.900195151170392,-15.991689899835407,-15.9459425255029,0.09149474866501528
-17.28919890757278,-17.201895736532293,-17.245547322052538,-0.08730317104048524
-18.749684009126213,-18.381883345735105,-18.56578367743066,-0.3678006633911082
-17.696849781579257,-17.63899965732281,-17.667924719451033,-0.05785012425644709
-15.931159478418213,-15.834832170081174,-15.882995824249694,-0.09632730833703818
-16.4095048381584,-16.377102629387608,-16.393303733773003,-0.032402208770793806
-14.936435012151126,-14.738949947853875,-14.8376924800025,-0.19748506429725055
-15.772942649469696,-15.499282688143229,-15.636112668806462,-0.27365996132646764
-21.855746183533864,-22.066243382825316,-21.96099478317959,0.21049719929145283
-17.934526764231528,-17.90841493011594,-17.921470847173733,-0.02611183411558926
-15.378741631407879,-15.381509866536868,-15.380125748972374,0.0027682351289897156
-15.824940384665684,-15.952551660400108,-15.888746022532896,0.12761127573442366
-15.086713650431353,-14.987200634074405,-15.036957142252879,-0.09951301635694776
-15.83248265245898,-15.637934935814716,-15.735208794136849,-0.19454771664426396
-16.880528018461682,-16.920591202641248,-16.900559610551465,0.04006318417956578
-16.17367379066154,-16.273898060128644,-16.22378592539509,0.10022426946710539
-16.115160954339263,-16.231824351175042,-16.173492652757155,0.11666339683577931
-15.759870346454,-15.636953481783795,-15.698411914118898,-0.12291686467020568
-15.781645040229979,-15.648537409971082,-15.71509122510053,-0.1331076302588965
-18.89786129743007,-18.867517572856386,-18.882689435143227,-0.030343724573683062
-16.845214720127515,-17.156245484301913,-17.000730102214714,0.31103076417439723
-16.030603036923583,-15.909785003997914,-15.970194020460749,-0.12081803292566917
-17.8663760103154,-17.65068982461446,-17.75853291746493,-0.2156861857009389
-18.49584592964807,-18.46042866584796,-18.478137297748013,-0.035417263800109566
-16.48443218818343,-16.467958639771247,-16.476195413977337,-0.016473548412182737
-16.487501218524823,-16.439995669397227,-16.463748443961023,-0.04750554912759597
-16.29027242971993,-16.310011105361298,-16.300141767540616,0.01973867564136711
-15.635792105583866,-15.464631031776975,-15.550211568680421,-0.17116107380689094
-16.45834294779769,-16.68404932494353,-16.57119613637061,0.22570637714584052
-16.917588406460006,-17.44647920384061,-17.182033805150308,0.5288907973806047
-15.996196425478836,-16.207018361133898,-16.101607393306367,0.21082193565506202
-15.668511235135004,-15.386773882967788,-15.527642559051396,-0.28173735216721596
-16.31657597543307,-16.252864481058214,-16.284720228245643,-0.06371149437485712
-16.036379639913914,-16.009036817841814,-16.022708228877864,-0.027342822072100148
-16.931795552898574,-17.01488414068919,-16.973339846793884,0.08308858779061623
-16.157221157373616,-16.06008737852344,-16.10865426794853,-0.09713377885017493
-15.67456194803665,-15.671649255441793,-15.673105601739222,-0.0029126925948581572
-15.749831161676951,-15.743088223230366,-15.746459692453659,-0.006742938446585356
-15.303677257313273,-15.284267155083011,-15.293972206198141,-0.019410102230262183
-17.42042807419934,-17.484592599759818,-17.45251033697958,0.06416452556047858
-15.375196419806278,-15.198809770839103,-15.28700309532269,-0.17638664896717415
-16.28414609739552,-16.216997995985338,-16.25057204669043,-0.0671481014101829
-16.3097375980688,-16.28740400256757,-16.298570800318185,-0.022333595501230263
-18.303449089569927,-18.23658966882619,-18.27001937919806,-0.06685942074373585
-17.77952995143572,-17.72589838816723,-17.752714169801475,-0.053631563268488947
-16.898605881737176,-17.05054822343815,-16.974577052587662,0.15194234170097332
-16.4670765986553,-16.694994697092902,-16.581035647874103,0.2279180984376019
-15.51843161130334,-15.2937835679171,-15.406107589610219,-0.22464804338624056
-18.062786384383294,-18.083149211104427,-18.07296779774386,0.020362826721132876
-24.220524324832372,-24.65780381796329,-24.439164071397833,0.4372794931309194
-19.787076049485997,-19.765469416870715,-19.776272733178356,-0.021606632615281285
-19.759225849249525,-19.429071173677407,-19.594148511463466,-0.33015467557211764
-17.615194747385214,-17.572132488838708,-17.59366361811196,-0.043062258546505916
-17.222940846781984,-17.349270628692445,-17.286105737737216,0.12632978191046007
-20.108584367163015,-20.28589403815193,-20.19723920265747,0.17730967098891526
-21.073682018892146,-21.07242305927268,-21.07305253908241,-0.0012589596194665376
-18.373303729432156,-18.201995027601264,-18.28764937851671,-0.17130870183089186
-19.067139790759725,-18.862035484277555,-18.96458763751864,-0.20510430648216982
-16.425625287295045,-16.4271410048145,-16.426383146054775,0.0015157175194566719
-17.308526941040178,-17.42505169689676,-17.36678931896847,0.11652475585658095
-18.136875251913906,-18.1817036545073,-18.159289453210604,0.04482840259339227
-19.986061225163372,-19.81186672343558,-19.898963974299477,-0.1741945017277935
-21.287500244980215,-21.11278067621141,-21.20014046059581,-0.17471956876880412
-18.551421777156005,-18.590562658452345,-18.570992217804175,0.039140881296340524
