wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic
wa3a9848,8.655840898338428e-5,8.77341433937901e-6,0.688746166229248,0.7379036331176758,10.014057159423901,4668.338489532471,297.58471394618476,6,87,621.964876604297
wf63b737,7.549169383768971e-5,0.0009490293922056528,0.7923652648925781,0.6040192604064941,1197.2493171691897,1040.7324790954592,127.95617079733317,6,80,282.20450140270964
w4ff13f3,8.192597730916651e-5,0.0009502639159955069,0.9327792930603027,1.0134445190429686,973.6343383789066,754.4925689697266,178.94418310832674,6,100,385.519387332582
w313d7aa,7.850502585008913e-5,0.00019742864108455893,0.6485466766357422,0.32327239990234374,1678.0662536621096,1061.2789154052732,289.31783786178426,6,146,608.5373154538186
w0e2f500,2.7802079645721442e-6,1.1480935921224781e-6,0.5633715783804655,0.061016761437058496,671.967423707247,1636.4583577960732,293.7869958363464,6,87,614.3694403846204
waedfc9c,0.00024213842918464277,0.0002188973371682949,0.5009893035888672,0.3299342346191407,1716.3387298583984,1144.8596954345705,124.62505943063243,6,100,276.8811399771934
w96b09fe,0.00011234859016993986,0.0007805945901460309,0.7475904846191406,1.1353062438964843,1515.7569885253906,1071.3474273681643,179.03224720996488,6,95,385.387755769533
w9ff051d,8.022888017929539e-5,0.00023258766845421676,0.8199430513381957,0.3536810648441314,2399.774044752121,1296.8777358531952,192.965363603969,6,99,413.5014463087455
wdcfc216,0.00016404606611763252,0.00029680632016583025,0.5293058776855469,0.05509956359863282,2034.2247009277344,1305.1673889160156,122.30083868196729,6,100,272.23269847986313
w4a3c9b0,6.425389734434677e-5,0.0009965802314014455,0.8939846801757813,0.30865337371826174,1625.813102722168,1246.363639831543,253.3983963454432,6,131,536.0479766300933
wde62b3d,0.00011287084779024992,0.0005790935373530852,0.7489198303222656,0.7711410522460938,1020.3225135803223,1041.187381744385,181.97300290678479,6,95,391.2692671631728
w5284fa9,0.0002672736697897473,0.00019282185207892017,0.45143718719482423,0.41535602569580077,1766.7874336242678,1256.1895370483398,143.4780929006454,6,95,314.27944715089404
w18b16aa,0.00011963492211507341,0.00025525531419011573,0.5220039176940918,0.3431483840942383,1267.5621032714841,1133.5022926330566,267.2856892985084,6,148,564.5546522396014
w430272a,0.00021929762866919618,0.00041718704194905736,0.6915464782714844,0.31095329284667966,1532.133483886719,1141.584396362305,89.21557118452128,6,95,205.7544037186458
w2121301,0.00023409102627587603,0.0002582910602481918,0.5923440551757813,0.15743652343750003,1511.996459960938,1270.83740234375,226.65365629076217,6,149,483.3309904171971
wb14ab17,9.646616199112019e-5,0.00023134377207339652,0.63334228515625,0.18547363281250004,1152.4414062500002,1352.3559570312498,141.17913688867765,6,94,309.6180424709753
wc59a729,9.635099439511308e-5,0.0009999297331483674,0.9692664337158203,0.6193463897705078,1520.791244506836,1210.972213745117,172.48777426481928,6,100,372.6065696455671
wcb4623a,7.988510683049902e-5,0.0001311589259359688,0.7138281249999999,0.4676272583007812,1496.4691162109375,1757.7651977539062,180.71321055579432,6,95,388.74968246119187
w672a25c,1.9775883838022802e-7,1.1893293160070137e-6,0.33938174724578857,0.48850650668144224,2371.6373682022095,1737.432944774628,330.3145186213344,6,98,688.1388421146922
wf36c682,0.00015629563107675507,0.00026227360010039845,0.5380202674865723,0.17900629043579105,1353.857135772705,1218.7055587768552,97.43351041046336,6,94,222.12678951454674
w5c58b96,2.2292356276836334e-5,0.0007182057132841505,0.9543415069580078,0.4589605474472046,391.9465303421022,1193.390226364136,297.15241440771797,6,87,621.1002775273635
w397496b,0.00015800449187550094,0.0001453600515642704,0.6578445434570312,0.44701484680175785,1245.6661224365237,1037.9878997802734,284.5958060433368,6,149,599.2152899223463
w9376389,4.509613068026409e-8,7.014228812344798e-10,0.5017000916600227,0.24482716590166093,3272.82794713974,1663.767147064209,313.05575459854316,6,93,653.3071061560058
w158db17,0.00010520434853820019,0.00024044290304716306,0.6298678588867188,0.3729642486572266,1236.5074157714848,511.27128601074236,140.53052368789076,6,95,308.38430872538476
