wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,neglogl,n_trials
recovery_033,7.556359830201731e-5,5.55122328280408e-5,0.5108508323742113,0.9101534803151641,2839.986357349491,4942.933545533887,0.00011875192618784238,3.796696515216392e-5,0.3987932063940195,0.7578270063487821,3297.9557156780397,5495.239827532248,314.72020679058505,100
recovery_034,5.1192205031549776e-5,6.121158248096512e-5,0.6253913495797879,0.4164343580622273,4134.946124419453,2902.8363244594125,3.216752729241831e-6,0.00010927528798740977,0.5936204134681252,0.1870288494332404,4436.809708371517,3673.1659790776293,262.41439620471084,100
recovery_035,4.926805999337821e-5,0.0002108879999659428,0.43679965178942537,0.8403996319314376,1696.7877858106224,1126.812230795684,1.2791874646862864e-5,0.00026913342431755853,0.2244542381481733,1.007670091355685,2499.6782436966896,1172.2679715836418,236.72502101927566,100
recovery_036,0.00021606085277788432,0.0005975374654195394,0.28155147520929064,0.6377746618369244,4077.7395798513626,729.4406175030722,0.00024126202856772098,0.0010316815388994745,0.2081594502811776,0.4099446417241842,4416.67756841663,1443.392574310158,110.81816983518372,100
recovery_037,0.00022407698416562923,0.00029838800601876054,0.696527340512204,0.9249709109303801,1294.7547867684323,507.0392987136428,0.00036244869471620944,0.00030950918524563726,0.519688538312912,0.6645542931556702,2017.5357103347778,1209.0370655059812,187.97334629229067,100
recovery_038,0.00038465748188821884,6.455621721190672e-5,0.8801340399976059,0.8579075285088146,4773.494031874778,4935.232131473268,0.0004633941332355764,6.949265850638346e-5,0.9821062524100534,0.7557666438188199,5000.846724464191,5339.579268578972,298.4082307508879,100
recovery_039,0.0004511716778428659,0.0005012751351490458,0.4148841843063936,0.9487236470226146,2825.5743760335176,3256.976324086501,0.00999996261801716,0.0006691788536291245,0.020792520898983227,0.7651462596811814,3804.02666629941,3883.289135934137,111.36451749485134,100
recovery_040,1.640771756262717e-5,0.0004881037422209537,0.08404944216709373,0.7144884230405292,2766.8216930945414,3369.017299492746,4.6286887787025105e-5,0.0005302247789903277,0.014430158054960913,0.875996282390738,2714.4244134357446,3222.982873749197,137.22054262461268,100
recovery_041,0.0004283282920766541,0.00017518339541190833,0.3941525633655393,0.0576178122807493,511.97405922043976,3168.91379515303,0.00045970594047961414,8.481722946392036e-5,0.25549235045909885,0.07615743100643159,1036.5281522274017,2980.088260769844,113.5209590585985,100
recovery_042,0.000391589656666396,0.0003975193169524854,0.9170164411968916,0.4135354425250295,4388.858450687203,2055.557581708853,0.0006143446003020587,0.0006434912174145709,0.8117161853902508,0.28427912039565856,5008.434806147125,2641.7886603157967,100.59146120538355,100
recovery_043,9.16612201293618e-5,3.174090734190582e-5,0.8058456598662163,0.5835547244972722,4992.521216650252,1396.8055630597928,0.00013959053390301382,5.4719468950712554e-5,0.6989877569670762,0.5442060089125698,5547.266405328083,1710.3275281486729,331.12971887442825,100
recovery_044,2.3735548078532766e-5,0.0008305418074482833,0.4179380200047879,0.07251676339363197,1842.1748507449709,651.5429968692741,1.5692173529419778e-5,0.0003014380613150148,0.3464574652096712,0.27424828257142425,2329.4259812699006,10.003575764139235,163.97218142632033,100
recovery_045,1.4222255156862241e-5,7.733866173492328e-5,0.6836768070090842,0.21603197706237423,3961.024020878213,546.5500324141258,9.717201280575993e-6,6.260608611508576e-5,0.5869218730926514,0.02975985527038576,4395.469808578491,559.4544410705566,238.0136138277795,100
recovery_046,8.802103703960274e-5,9.93763138018585e-5,0.5317294824843589,0.8709570195375542,4834.397804085752,3607.0119020518914,5.865782666716286e-5,0.00012835083461167106,0.5400529077847386,0.7918364508046761,4867.0030701066935,4017.9072926570366,325.9026449057541,100
recovery_047,6.082697797473909e-5,0.0007296249396150661,0.5144625664640866,0.9599817848002216,3995.5523892920223,124.01214045372764,5.954471431631451e-5,0.0028661080357139804,0.42030189037323,1.0150887346267699,4508.56351852417,955.5189967155455,165.15436374175903,100
recovery_048,4.5672507100126266e-5,2.0611835765428137e-5,0.3909596913083694,0.4786533367374723,4415.841945770576,1360.656322622458,1.5153316310096624e-5,4.502615375455293e-5,0.10201449307147414,0.42542373713105913,5425.64458064735,1568.6849773861466,205.30385993909803,100
recovery_049,3.492633131963508e-5,7.215955441156497e-5,0.8927456372177885,0.03057483905518868,4962.61033462011,2296.3976119087397,2.617104839083375e-5,6.49052544393082e-5,0.9090788011811672,0.16391442604828627,5026.6778817866,1659.9060707725582,298.1302872653222,100
recovery_050,0.0002498030260802466,6.585228755463559e-5,0.619983824887593,0.013299447266791335,4090.1383644984894,4162.385852199941,0.00042412204886233955,1.0642765630094086e-5,0.5545178981798199,0.1423410382220391,4702.677126673552,3552.4780826728597,157.27913948762176,100
