wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,rss,n_trials
recovery_026,2.0073687002621142e-5,3.9652274046613574e-5,0.8342085515811838,0.06308148290537828,3715.7483729624164,3821.9099922037585,0.008740574907372919,4.2799488197237086e-5,0.6787490991503,0.06902402723208073,6563.93282674253,3770.4312896355987,3.7666072277389646,97
recovery_027,0.0005019411918147359,1.3440940111054644e-5,0.48053400139034214,0.36540310091017614,1624.7502695024548,1510.89899146579,0.007254475687490943,9.086140592185501e-6,1.0536679741013357,0.04283148588510813,1311.1855609335178,2040.7868955262527,0.7983191129383874,100
recovery_028,4.410332488279765e-5,0.0002174017389955967,0.924385628833268,0.9250364038151242,1433.121742606761,2233.185491420183,0.0095256915281319,0.00023667204758528112,0.006833958197385075,0.9054680244810879,4546.506724134088,1819.727937504649,7.804679579403029,80
recovery_029,9.371912899158945e-5,5.806658336277256e-5,0.8766238966226911,0.7454998977010756,4252.802036515156,2358.7740785599194,0.0005531279009041465,0.0005477325012371965,0.7438197951603795,0.18691841505736398,5168.918502623332,4414.2979711608095,3.4781780025131837,96
recovery_030,0.00011478257153005362,0.0006225221131966085,0.5675857725692104,0.6706791106532589,202.62146752673343,2516.0396220492976,0.007070418471881419,0.00035819383858865954,0.0028728281626968014,0.6173096100189661,1161.956676645957,2265.0281661566623,2.050503943171303,100
recovery_031,0.0004806213368371305,0.0006981465523833648,0.3336045172475025,0.6465657192371714,4440.640770686671,1627.1788723026368,0.009985452550099616,0.0021098151485236015,0.21709860053000737,0.5548976428838797,4224.739292394952,2099.550965009257,0.6971808807292258,99
recovery_032,0.0009016376692221082,1.238971665765225e-5,0.7665707031261155,0.029099128690251337,772.6758475113272,2750.066250345951,0.009186274922745187,1.0000548335067378e-6,1.9999809004586357,0.1014702523693442,10.102582706315728,2709.5406498824577,0.5189390915413459,100
recovery_033,7.556359830201731e-5,5.55122328280408e-5,0.5108508323742113,0.9101534803151641,2839.986357349491,4942.933545533887,0.009999938210140948,2.3012324533691274e-5,0.8750009352603456,0.3330484711425697,1885.9901439004261,8105.249468022385,4.956402186894293,94
recovery_034,5.1192205031549776e-5,6.121158248096512e-5,0.6253913495797879,0.4164343580622273,4134.946124419453,2902.8363244594125,0.0005548086901438074,0.00018625427382074687,1.0098400265839336,0.44990074593820595,4334.8823170956475,2957.500532021251,6.3447936168953625,100
recovery_035,4.926805999337821e-5,0.0002108879999659428,0.43679965178942537,0.8403996319314376,1696.7877858106224,1126.812230795684,2.154073572012076e-6,0.00042108096099376666,0.23542169505730273,0.6463952618651093,2911.738656833768,2029.0324322879312,3.956303507667428,99
recovery_036,0.00021606085277788432,0.0005975374654195394,0.28155147520929064,0.6377746618369244,4077.7395798513626,729.4406175030722,0.0012049981744923332,0.0032045808971732045,0.4108977047956806,0.6312685225418512,4020.7067846975406,1378.3181045774766,4.396736635434701,100
recovery_037,0.00022407698416562923,0.00029838800601876054,0.696527340512204,0.9249709109303801,1294.7547867684323,507.0392987136428,0.004836142014529145,0.0005326208736511824,0.39825120369474465,0.7210498267932417,3208.495863786811,1377.2616996851864,2.0365472136353073,96
recovery_038,0.00038465748188821884,6.455621721190672e-5,0.8801340399976059,0.8579075285088146,4773.494031874778,4935.232131473268,0.0019137234054333598,7.515113878277752e-6,0.5810958171885275,0.48853849036661584,7196.085078990492,6439.243489644948,6.966831447933347,95
recovery_039,0.0004511716778428659,0.0005012751351490458,0.4148841843063936,0.9487236470226146,2825.5743760335176,3256.976324086501,0.0027434235412360135,0.00046864685404123397,0.3823230234161019,0.9561801614053547,3046.2274059653278,3198.255171813071,2.1088146410537734,99
recovery_040,1.640771756262717e-5,0.0004881037422209537,0.08404944216709373,0.7144884230405292,2766.8216930945414,3369.017299492746,0.00022418371274410132,0.000514830419406325,0.12371476173400882,0.6759441328048705,2806.1016559600826,3467.280340194702,3.104476657023294,100
recovery_041,0.0004283282920766541,0.00017518339541190833,0.3941525633655393,0.0576178122807493,511.97405922043976,3168.91379515303,0.009981137948967095,6.756614461198963e-5,0.0010000000004584037,0.41833765766730724,1022.1401349421284,2176.794775088638,1.7465160007071598,100
recovery_042,0.000391589656666396,0.0003975193169524854,0.9170164411968916,0.4135354425250295,4388.858450687203,2055.557581708853,0.003512855504527453,0.0005680929694028425,0.5414087362178771,0.4278104445056169,5716.2094786576745,2066.9802378439726,0.626134011475816,100
recovery_043,9.16612201293618e-5,3.174090734190582e-5,0.8058456598662163,0.5835547244972722,4992.521216650252,1396.8055630597928,0.0003702875776145935,2.455437311926998e-5,0.7614248144626617,0.07401311755180362,5269.50032711029,3226.1136054992676,6.145196485983898,97
recovery_044,2.3735548078532766e-5,0.0008305418074482833,0.4179380200047879,0.07251676339363197,1842.1748507449709,651.5429968692741,0.0007969213528382211,0.000981469826049705,1.4427081586420536,0.10925305984914303,951.6108227893708,713.3454304188489,2.9310595559631976,100
recovery_045,1.4222255156862241e-5,7.733866173492328e-5,0.6836768070090842,0.21603197706237423,3961.024020878213,546.5500324141258,1.0003431611326235e-6,3.055627688909056e-5,0.4194196359065245,0.1673165824878379,2250.4165833321167,696.4545702736357,7.386238770533704,100
recovery_046,8.802103703960274e-5,9.93763138018585e-5,0.5317294824843589,0.8709570195375542,4834.397804085752,3607.0119020518914,0.003852542441177311,0.00027364514641411227,0.3886028252483448,0.42891466205557666,5667.551685533726,5722.435566448258,6.816860498839501,97
recovery_047,6.082697797473909e-5,0.0007296249396150661,0.5144625664640866,0.9599817848002216,3995.5523892920223,124.01214045372764,0.009421714139135236,0.002457003502730376,0.2843028727683123,0.8060833196400926,4215.670184225746,681.9919883622788,4.274906410018472,96
recovery_048,4.5672507100126266e-5,2.0611835765428137e-5,0.3909596913083694,0.4786533367374723,4415.841945770576,1360.656322622458,1.107720052176923e-6,9.889845064343499e-5,0.01681752890348435,0.08976652503013612,4940.643063187599,2367.0288145542145,4.218890746968621,100
recovery_049,3.492633131963508e-5,7.215955441156497e-5,0.8927456372177885,0.03057483905518868,4962.61033462011,2296.3976119087397,0.00016758858219356108,5.586072123611996e-5,1.4183104216103262,0.41895635598943953,4624.7538958180485,1577.0579958395956,3.3762686923842247,96
recovery_050,0.0002498030260802466,6.585228755463559e-5,0.619983824887593,0.013299447266791335,4090.1383644984894,4162.385852199941,0.0003819555563719311,9.918075655889956e-5,0.6027665373682976,0.14015526533126835,3849.149477481842,4132.409027218819,1.8504612101644053,100
