wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,method
w430272a,9.999999973613009e-5,9.999991115568511e-5,0.82102829808464,0.5946430596607787,952.0718824720292,215.15865889924237,1587.4770732435022,6,95,3202.277407836608,DE
w2121301,9.999999325021453e-5,7.972729294950687e-5,0.7036746255679048,0.6677280820389379,626.2883329702408,120.19869787298403,2407.0154632969957,6,144,4843.849806391448,DE
wb14ab17,8.111873146884629e-5,6.862286388955781e-5,0.8649914332477215,0.4837124413318281,537.8813755465949,455.3576044225904,1605.8532453453283,6,94,3238.966259384277,DE
wc59a729,5.574995478855194e-5,9.999999966627646e-5,0.8581566931604776,0.6899240236820516,1034.6770681034993,105.86708906354316,1631.6440698517972,6,95,3290.611401053198,DE
wcb4623a,8.494514174794226e-5,7.217497388770898e-5,0.9844015930834907,0.6943023549889564,780.1370174455526,786.8928978898422,1654.3919154664613,6,95,3336.107092282526,DE
w672a25c,7.688788014418713e-5,6.978983535597851e-5,0.9258088497960769,0.8041368814093626,911.5628418325382,232.64873039558475,1521.6532010129029,6,89,3070.2382202441986,DE
wf36c682,9.557787938910411e-5,8.168568160420274e-5,0.6881124107913108,0.5787896045667398,742.1730859292677,130.20878218586068,1602.003115949198,6,95,3231.3294932479994,DE
w5c58b96,4.897853600727736e-5,7.7273031099467e-5,0.9999999999886164,0.7273407672811187,1057.8823955940204,217.4821596676937,1457.4220370396279,6,83,2941.3571177260355,DE
w397496b,9.99999999511421e-5,8.131974361483376e-5,0.8005441250298067,0.6576856630398606,778.5481438424562,214.50124315838863,2436.051293609633,6,145,4901.96298967379,DE
w9376389,4.909424355979076e-5,6.808566703864482e-5,0.9999999999411883,0.8003835814050659,1461.4291421233502,516.432261173609,1571.9258591704986,6,87,3170.6471670529245,DE
w158db17,7.208760629072206e-5,9.99999420236403e-5,0.7725844619975665,0.4139612224350519,728.7340258018966,171.75514179803895,1552.3136729233938,6,95,3131.950607196391,DE
w9864444,9.999997148374085e-5,8.209818254621606e-5,0.5904405066550773,0.4753638370584754,568.6640340053988,64.02349614237326,2313.4905235607794,6,145,4656.841449576083,DE
w05e5ad5,7.063113833758174e-5,5.69365039128161e-5,0.9999999958695744,0.7776654048972611,394.47098464214247,50.00001089363641,1627.5960701654424,6,90,3282.1909983528662,DE
w6d23692,9.999999887093188e-5,5.800939823697134e-5,0.8082910010284879,0.5909780636128598,662.5587384698932,71.38699699386757,2403.07495158857,6,140,4835.799757712796,DE
we289943,9.337333593911477e-5,9.999999948770304e-5,0.8320410806980746,0.5736265004087994,726.7283837272867,102.6696636119349,2353.621676366262,6,141,4736.935912074793,DE
w6f95ee3,6.995115145075311e-5,9.999999995142135e-5,0.9999999998405827,0.6955826169021239,1041.76746135747,448.506514243055,2470.367227973809,6,145,4970.594858402142,DE
w6eb2a0a,5.855631960106425e-5,7.439083168217506e-5,0.9999999996911593,0.7425120313913675,1898.740281436883,471.91340386294604,1341.170526887168,6,75,2708.245982455554,DE
w2424d8d,9.649619620495996e-5,9.999999982244808e-5,0.8430841888395806,0.5986321885753383,634.1038129181412,244.50883874633158,1642.5581478545528,6,99,3312.6870148099133,DE
