trial_idx,choice1,choice2,rt1,rt2,diff2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff,abs_err,mean_ll
108,1,2,5730.0,2940.0,,-20.740481734719744,false,1483,-20.753909818126544,0.013428083406800795,0.013428083406800795,-20.747195776423144
109,2,4,1955.0,1537.0,,-15.561755597945357,false,1005,-15.500953716830033,-0.06080188111532436,0.06080188111532436,-15.531354657387695
110,1,1,9380.0,2571.0,,-22.691820602365592,false,1544,-22.41043508446066,-0.2813855179049334,0.2813855179049334,-22.551127843413127
111,2,3,8665.0,2568.0,,-20.11803473265521,false,1451,-19.780640181458118,-0.33739455119709305,0.33739455119709305,-19.949337457056664
112,1,1,2089.0,521.0,,-14.754984070870544,false,1022,-14.537647676764998,-0.21733639410554595,0.21733639410554595,-14.64631587381777
113,2,4,2112.0,2070.0,,-16.027070241288445,false,1042,-15.879362324324054,-0.14770791696439112,0.14770791696439112,-15.953216282806249
114,1,1,3466.0,574.0,,-19.807662619494856,false,10000,-19.578651000570165,-0.2290116189246909,0.2290116189246909,-19.693156810032512
115,2,3,5833.0,585.0,,-17.26635724679101,false,1489,-17.38369886776558,0.11734162097457101,0.11734162097457101,-17.325028057278296
116,1,2,1696.0,1184.0,,-14.175495370816321,false,1025,-14.174485422756984,-0.0010099480593375176,0.0010099480593375176,-14.174990396786653
117,2,3,3253.0,447.0,,-16.43474189838331,false,1013,-17.14124906995662,0.7065071715733069,0.7065071715733069,-16.787995484169965
118,2,3,2617.0,2232.0,,-18.006022388473646,false,1225,-18.060018807828033,0.05399641935438737,0.05399641935438737,-18.03302059815084
119,1,1,5839.0,1103.0,,-20.13148273674497,false,1082,-20.94457716511785,0.813094428372878,0.813094428372878,-20.53802995093141
120,1,1,4160.0,633.0,,-17.59174311773256,false,2695,-17.38521642249733,-0.2065266952352296,0.2065266952352296,-17.488479770114942
121,2,3,1310.0,2839.0,,-22.04818999104085,false,10000,-23.23514306894245,1.1869530779015989,1.1869530779015989,-22.64166652999165
122,1,2,2954.0,1045.0,,-16.073327778182946,false,1217,-15.957830458212126,-0.11549731997082091,0.11549731997082091,-16.015579118197536
123,2,3,1535.0,400.0,,-14.371982500390224,false,1029,-14.688124817239025,0.3161423168488007,0.3161423168488007,-14.530053658814625
124,1,1,3269.0,1703.0,,-19.312725857390145,false,1026,-19.958120539084717,0.6453946816945724,0.6453946816945724,-19.635423198237433
125,2,4,1798.0,1330.0,,-16.373170702387984,false,1317,-16.319408880660944,-0.053761821727039916,0.053761821727039916,-16.346289791524462
126,2,4,2937.0,1519.0,,-16.575018010315883,false,1533,-16.582008222895286,0.006990212579403021,0.006990212579403021,-16.578513116605585
127,2,4,2510.0,1275.0,,-15.461732657811504,false,1021,-15.490596559531086,0.028863901719581975,0.028863901719581975,-15.476164608671295
128,1,2,1575.0,2366.0,,-21.575076754464362,false,10000,-21.103625629567162,-0.4714511248972002,0.4714511248972002,-21.339351192015762
129,1,1,7311.0,320.0,,-17.69578263959128,false,1292,-18.042016383217522,0.34623374362624304,0.34623374362624304,-17.8688995114044
130,1,1,2392.0,457.0,,-14.367576356560285,false,1001,-14.434432996772507,0.06685664021222237,0.06685664021222237,-14.401004676666396
131,2,4,1745.0,3466.0,,-16.305382148883634,false,1256,-16.26051784240984,-0.04486430647379436,0.04486430647379436,-16.28294999564674
132,1,2,5889.0,1500.0,,-18.5391101698664,false,1100,-18.438700147395444,-0.10041002247095676,0.10041002247095676,-18.48890515863092
133,2,3,2470.0,504.0,,-15.246420791791238,false,1048,-15.103208781612205,-0.14321201017903284,0.14321201017903284,-15.17481478670172
134,2,3,1616.0,508.0,,-16.672969079815932,false,2179,-16.65329013072717,-0.019678949088760334,0.019678949088760334,-16.66312960527155
135,1,1,6863.0,862.0,,-39.3463392254994,false,10000,-26.901603006582672,-12.444736218916727,12.444736218916727,-33.123971116041034
136,2,3,2252.0,1795.0,,-15.787800641624811,false,1113,-15.847622602358339,0.059821960733527746,0.059821960733527746,-15.817711621991574
137,2,4,2221.0,1562.0,,-18.840998996032674,false,10000,-18.814814060258215,-0.02618493577445946,0.02618493577445946,-18.827906528145444
138,1,1,4102.0,498.0,,-16.54474032527843,false,1166,-16.458793693894243,-0.08594663138418568,0.08594663138418568,-16.501767009586338
139,1,2,2518.0,1083.0,,-15.707518570639298,false,1059,-15.655782793249337,-0.05173577738996116,0.05173577738996116,-15.681650681944317
140,1,2,6979.0,1667.0,,-19.43180081241516,false,1250,-19.706591335785824,0.2747905233706618,0.2747905233706618,-19.569196074100493
