trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
108,1,2,5730.0,2940.0,-18.420680743952367,true,1000,-20.753909818126544,2.3332290741741772
109,2,4,1955.0,1537.0,-15.411724191809741,false,1000,-15.500953716830033,0.08922952502029169
110,1,1,9380.0,2571.0,-18.420680743952367,true,1000,-22.41043508446066,3.9897543405082914
111,2,3,8665.0,2568.0,-18.420680743952367,true,1000,-19.780640181458118,1.3599594375057507
112,1,1,2089.0,521.0,-14.527192760498973,false,1000,-14.537647676764998,0.010454916266024128
113,2,4,2112.0,2070.0,-15.852316413071167,false,1000,-15.879362324324054,0.027045911252887578
114,1,1,3466.0,574.0,-18.420680743952367,true,3847,-19.578651000570165,1.1579702566177978
115,2,3,5833.0,585.0,-17.23791595237044,false,1000,-17.38369886776558,0.14578291539514154
116,1,2,1696.0,1184.0,-14.198687263152502,false,1000,-14.174485422756984,-0.024201840395518204
117,2,3,3253.0,447.0,-16.79060389465356,false,1000,-17.14124906995662,0.3506451753030575
118,2,3,2617.0,2232.0,-18.420680743952367,true,1000,-18.060018807828033,-0.36066193612433395
119,1,1,5839.0,1103.0,-18.420680743952367,true,1000,-20.94457716511785,2.5238964211654817
120,1,1,4160.0,633.0,-17.30835513301528,false,1000,-17.38521642249733,0.07686128948204995
121,2,3,1310.0,2839.0,-18.420680743952367,true,10000,-23.23514306894245,4.814462324990082
122,1,2,2954.0,1045.0,-16.07050353294695,false,1000,-15.957830458212126,-0.11267307473482546
123,2,3,1535.0,400.0,-14.950442676251683,false,1000,-14.688124817239025,-0.2623178590126578
124,1,1,3269.0,1703.0,-18.420680743952367,true,1000,-19.958120539084717,1.5374397951323502
125,2,4,1798.0,1330.0,-16.402340438143227,false,1000,-16.319408880660944,-0.08293155748228287
126,2,4,2937.0,1519.0,-16.55540676500192,false,1000,-16.582008222895286,0.026601457893367098
127,2,4,2510.0,1275.0,-15.35407268275203,false,1000,-15.490596559531086,0.13652387677905686
128,1,2,1575.0,2366.0,-18.420680743952367,true,10000,-21.103625629567162,2.682944885614795
129,1,1,7311.0,320.0,-18.107369127020092,false,1000,-18.042016383217522,-0.0653527438025705
130,1,1,2392.0,457.0,-14.43928913387342,false,1000,-14.434432996772507,-0.00485613710091215
131,2,4,1745.0,3466.0,-16.355495876285673,false,1000,-16.26051784240984,-0.09497803387583303
132,1,2,5889.0,1500.0,-18.347433087268495,false,1000,-18.438700147395444,0.09126706012694896
133,2,3,2470.0,504.0,-15.222085509543085,false,1000,-15.103208781612205,-0.11887672793088022
134,2,3,1616.0,508.0,-16.839606905309353,false,1000,-16.65329013072717,-0.1863167745821812
135,1,1,6863.0,862.0,-18.420680743952367,true,10000,-26.901603006582672,8.480922262630305
136,2,3,2252.0,1795.0,-15.823673416883242,false,1000,-15.847622602358339,0.023949185475096613
137,2,4,2221.0,1562.0,-18.420680743952367,true,1672,-18.814814060258215,0.39413331630584736
138,1,1,4102.0,498.0,-16.56670797146819,false,1000,-16.458793693894243,-0.107914277573947
139,1,2,2518.0,1083.0,-15.54475012035521,false,1000,-15.655782793249337,0.111032672894126
140,1,2,6979.0,1667.0,-18.420680743952367,true,1000,-19.706591335785824,1.2859105918334564
