trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
43,1,1,2880.0,383.0,-16.110337621696843,false,1000,-16.43545356434828,0.3251159426514363
44,1,1,2585.0,3818.0,-18.345593416970214,false,1000,-18.124670170633877,-0.2209232463363371
45,1,2,3282.0,1812.0,-17.214064996978745,false,1000,-17.26681964463719,0.052754647658446174
46,2,3,4940.0,864.0,-17.326177168173796,false,1000,-17.18197704467441,-0.1442001234993846
47,1,2,2194.0,814.0,-15.329028230793245,false,1000,-15.211877072177163,-0.11715115861608183
48,1,1,2574.0,1423.0,-23.05360221788665,false,10000,-22.670027777758367,-0.3835744401282817
49,2,4,1568.0,3183.0,-17.354396553519884,false,1000,-17.494772952282467,0.14037639876258368
50,2,3,4574.0,498.0,-17.99324179560663,false,1000,-18.281926559730046,0.2886847641234169
51,1,1,8189.0,2750.0,-21.002495391153353,false,1000,-21.504087165443572,0.501591774290219
52,1,1,4594.0,2731.0,-19.31689443802334,false,1000,-19.653073193645852,0.3361787556225124
53,2,4,1788.0,2014.0,-16.055590592306675,false,1000,-15.915645353019046,-0.1399452392876288
54,2,4,1312.0,1199.0,-15.131724055475932,false,1000,-15.18019292687927,0.048468871403338554
55,2,4,1680.0,1716.0,-16.040943985687765,false,1000,-16.013004232041986,-0.02793975364577861
56,2,4,2313.0,1608.0,-16.44398928338839,false,1000,-16.48152245511907,0.03753317173067927
57,2,3,1893.0,836.0,-16.432684188187775,false,1000,-16.33878831976442,-0.09389586842335618
58,1,2,2013.0,1250.0,-15.285582923161616,false,1000,-15.228846727769675,-0.056736195391941635
59,2,4,1949.0,1714.0,-16.32113267798529,false,1000,-16.299926108700646,-0.021206569284643706
60,1,1,1693.0,1105.0,-15.533719571999363,false,1000,-15.467844133297344,-0.06587543870201884
61,2,4,1534.0,2773.0,-16.658018235478036,false,1000,-16.792356368987207,0.13433813350917134
62,2,4,1628.0,1877.0,-15.670740239731593,false,1000,-15.66657341332892,-0.004166826402673962
63,2,3,3889.0,3255.0,-18.800202985301834,false,1000,-18.875404037680475,0.07520105237864172
64,2,4,1032.0,3612.0,-18.70246658715941,false,1000,-20.279113104905512,1.5766465177461022
65,2,4,1040.0,2814.0,-18.420047618615502,false,1000,-18.822188920469532,0.4021413018540301
66,2,3,2043.0,2072.0,-17.169393294511224,false,1000,-17.0389532830865,-0.1304400114247244
67,2,3,1303.0,2081.0,-16.491587291969672,false,1000,-16.224453111737816,-0.26713418023185653
68,2,4,3497.0,1479.0,-16.862404465978138,false,1000,-16.931983493523887,0.06957902754574974
69,1,1,2784.0,640.0,-16.37355649112566,false,1000,-16.113505453396357,-0.2600510377293048
70,2,3,6548.0,2678.0,-19.227123402551022,false,1000,-19.366614339954033,0.13949093740301066
71,2,4,3395.0,1827.0,-17.45797651589819,false,1000,-17.341119126914883,-0.11685738898330555
72,1,2,2007.0,3231.0,-16.96593295982477,false,1000,-16.96660768144333,0.0006747216185623017
73,2,3,1365.0,2875.0,-20.541594561193,false,3948,-20.610286336658994,0.06869177546599303
74,2,3,4690.0,657.0,-17.91577999532687,false,1000,-18.062621458849275,0.14684146352240646
75,1,1,4505.0,1561.0,-18.112143297661778,false,1000,-18.055107645748866,-0.057035651912912044
76,1,1,1995.0,3919.0,-17.889644679613692,false,1000,-17.71489208984902,-0.17475258976467245
77,2,3,3749.0,1147.0,-17.437579481217394,false,1000,-17.336778494535594,-0.10080098668180071
78,2,3,1444.0,2287.0,-18.361757646944454,false,1000,-18.361633888069044,-0.00012375887541082875
79,2,3,1388.0,1042.0,-15.293025737201878,false,1000,-15.332770444672738,0.03974470747085945
80,2,3,2717.0,500.0,-16.515429022896704,false,1000,-16.610722617446903,0.09529359455019915
81,1,1,2038.0,476.0,-14.86347847136268,false,1000,-14.7732579278772,-0.09022054348547925
82,2,3,1383.0,1415.0,-15.642112505207253,false,1000,-15.631239334323144,-0.010873170884108774
83,2,3,2996.0,854.0,-16.398826675988,false,1000,-16.388441237997284,-0.010385437990716895
84,1,1,4732.0,618.0,-19.242649470254282,false,1000,-19.033560890388713,-0.2090885798655684
85,1,2,2116.0,940.0,-15.054194531943944,false,1000,-15.107989420326595,0.053794888382650896
86,2,3,1472.0,975.0,-15.983510515382715,false,1000,-15.870312421380547,-0.1131980940021684
87,2,3,1056.0,468.0,-16.868031809764876,false,1000,-17.683925763015992,0.8158939532511162
88,2,3,6651.0,953.0,-17.832767750028637,false,1000,-17.712480993540396,-0.12028675648824105
89,1,2,3797.0,1471.0,-17.07347281055031,false,1000,-17.150664361646392,0.07719155109608167
