trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,analytical_used_eps,loglik_diff
59,1,2,1125.0,1663.0,-15.424400272646567,false,1056,-15.569522186954014,false,0.14512191430744714
60,2,3,1583.0,759.0,-15.242269561426754,false,1432,-15.163987774412558,false,-0.07828178701419652
61,2,3,1561.0,476.0,-14.42297485803642,false,1099,-14.476851012863012,false,0.05387615482659136
62,1,1,2913.0,1788.0,-17.47563824199002,false,1785,-17.406758937138054,false,-0.06887930485196492
63,2,3,2708.0,359.0,-16.275923401799353,false,1266,-16.266929889623896,false,-0.008993512175457852
64,2,4,2172.0,2709.0,-17.55663877566819,false,1433,-17.57814650881273,false,0.021507733144538577
65,2,4,1989.0,2048.0,-17.256073123938943,false,1245,-17.311887387859834,false,0.055814263920890284
66,2,4,1440.0,1809.0,-16.555398050517145,false,1037,-16.64022726458566,false,0.08482921406851673
67,2,4,1617.0,1131.0,-15.324601335796473,false,1052,-15.231547400694305,false,-0.09305393510216753
68,2,3,1656.0,598.0,-14.521900070436295,false,1112,-14.55995510137124,false,0.03805503093494522
69,1,2,1598.0,1495.0,-16.63308002033668,false,1704,-16.46125081631243,false,-0.1718292040242524
70,1,1,837.0,581.0,-15.514742584921594,false,1409,-15.505438608286614,false,-0.00930397663498006
71,2,3,1730.0,1393.0,-15.847570935233252,false,1143,-15.825310952864424,false,-0.02225998236882809
72,1,1,2309.0,493.0,-16.264700507196153,false,1727,-16.14480184596806,false,-0.1198986612280919
73,2,3,1927.0,499.0,-14.802715134975209,false,1116,-14.963011922455852,false,0.16029678748064313
74,2,3,3662.0,502.0,-16.73278812148782,false,2224,-16.617936163169446,false,-0.11485195831837203
75,2,3,1872.0,636.0,-15.295403397533734,false,1167,-15.259786430692813,false,-0.035616966840921194
76,1,2,1030.0,935.0,-15.904747191360727,false,1063,-15.753345470964442,false,-0.15140172039628474
77,1,2,1740.0,975.0,-15.316853168663966,false,1059,-15.189011734353612,false,-0.12784143431035488
78,2,3,1642.0,838.0,-14.799723794261574,false,1028,-14.645809073949769,false,-0.1539147203118052
79,2,3,1788.0,710.0,-14.665540131573483,false,1071,-14.697187176472251,false,0.031647044898768684
80,2,3,1095.0,373.0,-14.037427204951813,false,1024,-13.6926304758898,false,-0.3447967290620131
81,2,3,1397.0,532.0,-14.181247960500233,false,1057,-13.96416785668155,false,-0.2170801038186827
82,1,1,1606.0,1479.0,-15.816805524537216,false,1036,-15.784975246968884,false,-0.03183027756833212
83,2,3,1747.0,455.0,-14.44358708561446,false,1036,-14.422301808796744,false,-0.02128527681771608
84,1,2,759.0,858.0,-14.951676460667802,false,1167,-15.235629952324171,false,0.2839534916563693
85,1,1,720.0,694.0,-15.405006588376528,false,1115,-15.295289870360005,false,-0.10971671801652327
86,1,2,967.0,911.0,-15.538174282679714,false,1189,-15.31714028700603,false,-0.2210339956736842
87,2,4,1370.0,1193.0,-15.0191359027867,false,1111,-14.957891551445215,false,-0.06124435134148598
88,2,3,5554.0,810.0,-17.270738143760887,false,1150,-17.277246671788426,false,0.006508528027538318
89,1,2,2357.0,753.0,-16.077169682366943,false,1491,-15.992410071617527,false,-0.08475961074941551
90,2,3,1356.0,602.0,-15.317037059509273,false,1637,-15.186378204850843,false,-0.13065885465842975
